cell,donor,truth,pred
OA9_S0.32,OA9,EC,EC
OA9_S1.1,OA9,HomC,HomC
OA9_S1.2,OA9,EC,EC
OA9_S1.3,OA9,EC,EC
OA9_S1.4,OA9,RegC,ProC
OA9_S1.5,OA9,HomC,HomC
OA9_S1.6,OA9,ProC,ProC
OA9_S1.7,OA9,FC,FC
OA9_S1.8,OA9,EC,ProC
OA9_S1.9,OA9,RegC,RegC
OA9_S1.10,OA9,RegC,FC
OA9_S1.11,OA9,RegC,FC
OA9_S1.12,OA9,RegC,RegC
OA9_S1.13,OA9,HomC,HomC
OA9_S1.15,OA9,RegC,HTC
OA9_S1.16,OA9,HomC,HomC
OA9_S1.17,OA9,RegC,HomC
OA9_S1.18,OA9,RegC,ProC
OA9_S1.19,OA9,RegC,HTC
OA9_S1.20,OA9,HTC,HTC
OA9_S1.21,OA9,RegC,RegC
OA9_S1.22,OA9,HomC,HomC
OA9_S1.23,OA9,RegC,RegC
OA9_S1.24,OA9,EC,ProC
OA9_S1.25,OA9,HTC,HTC
OA9_S1.26,OA9,RegC,HTC
OA9_S1.27,OA9,EC,EC
OA9_S1.28,OA9,RegC,RegC
OA9_S1.29,OA9,RegC,HTC
OA9_S1.30,OA9,HomC,HomC
OA9_S1.31,OA9,HomC,HomC
OA9_S1.32,OA9,FC,FC
OA9_S2.1,OA9,preHTC,preHTC
OA9_S2.2,OA9,preHTC,preHTC
OA9_S2.3,OA9,RegC,RegC
OA9_S2.4,OA9,preHTC,preHTC
OA9_S2.5,OA9,preHTC,preHTC
OA9_S2.6,OA9,preHTC,preHTC
OA9_S2.7,OA9,ProC,ProC
OA9_S2.8,OA9,preHTC,preHTC
OA9_S2.9,OA9,ProC,ProC
OA9_S2.10,OA9,EC,EC
OA9_S2.11,OA9,preHTC,preHTC
OA9_S2.12,OA9,ProC,ProC
OA9_S2.13,OA9,ProC,ProC
OA9_S2.14,OA9,preHTC,preHTC
OA9_S2.15,OA9,preHTC,preHTC
OA9_S2.16,OA9,preHTC,FC
OA9_S2.17,OA9,ProC,ProC
OA9_S2.18,OA9,ProC,ProC
OA9_S2.19,OA9,ProC,ProC
OA9_S2.20,OA9,preHTC,preHTC
OA9_S2.21,OA9,ProC,ProC
OA9_S2.22,OA9,preHTC,preHTC
OA9_S2.23,OA9,preHTC,preHTC
OA9_S2.24,OA9,RegC,RegC
OA9_S2.25,OA9,preHTC,preHTC
OA9_S2.26,OA9,EC,EC
OA9_S2.28,OA9,EC,HomC
OA9_S2.29,OA9,preHTC,preHTC
OA9_S2.30,OA9,RegC,preHTC
OA9_S2.31,OA9,preHTC,preHTC
OA9_S2.32,OA9,ProC,ProC
OA9_S3.1,OA9,ProC,HTC
OA9_S3.2,OA9,ProC,ProC
OA9_S3.3,OA9,ProC,ProC
OA9_S3.4,OA9,ProC,ProC
OA9_S3.5,OA9,ProC,ProC
OA9_S3.6,OA9,ProC,ProC
OA9_S3.7,OA9,ProC,ProC
OA9_S3.8,OA9,ProC,ProC
OA9_S3.9,OA9,ProC,ProC
OA9_S3.10,OA9,EC,EC
OA9_S3.11,OA9,ProC,EC
OA9_S3.12,OA9,ProC,EC
OA9_S3.13,OA9,ProC,EC
OA9_S3.14,OA9,ProC,ProC
OA9_S3.15,OA9,ProC,ProC
OA9_S3.16,OA9,ProC,ProC
OA9_S3.17,OA9,ProC,ProC
OA9_S3.18,OA9,ProC,ProC
OA9_S3.19,OA9,ProC,ProC
OA9_S3.20,OA9,ProC,ProC
OA9_S3.21,OA9,ProC,ProC
OA9_S3.22,OA9,ProC,EC
OA9_S3.24,OA9,ProC,FC
OA9_S3.25,OA9,ProC,ProC
OA9_S3.26,OA9,EC,EC
OA9_S3.27,OA9,ProC,ProC
OA9_S3.28,OA9,ProC,ProC
OA9_S3.29,OA9,ProC,ProC
OA9_S3.30,OA9,ProC,ProC
OA9_S3.31,OA9,ProC,ProC
OA9_S3.32,OA9,ProC,ProC
OA9_S4.1,OA9,preHTC,preHTC
OA9_S4.2,OA9,ProC,ProC
OA9_S4.3,OA9,preHTC,preHTC
OA9_S4.5,OA9,preHTC,preHTC
OA9_S4.6,OA9,preHTC,preHTC
OA9_S4.8,OA9,preHTC,preHTC
OA9_S4.9,OA9,preHTC,HomC
OA9_S4.10,OA9,preHTC,preHTC
OA9_S4.11,OA9,preHTC,preHTC
OA9_S4.12,OA9,preHTC,preHTC
OA9_S4.13,OA9,preHTC,HTC
OA9_S4.14,OA9,preHTC,preHTC
OA9_S4.15,OA9,preHTC,preHTC
OA9_S4.16,OA9,ProC,ProC
OA9_S4.17,OA9,preHTC,preHTC
OA9_S4.18,OA9,ProC,ProC
OA9_S4.19,OA9,preHTC,ProC
OA9_S4.20,OA9,preHTC,preHTC
OA9_S4.21,OA9,ProC,ProC
OA9_S4.22,OA9,preHTC,preHTC
OA9_S4.23,OA9,preHTC,preHTC
OA9_S4.25,OA9,preHTC,preHTC
OA9_S4.26,OA9,preHTC,preHTC
OA9_S4.27,OA9,preHTC,preHTC
OA9_S4.28,OA9,preHTC,preHTC
OA9_S4.29,OA9,preHTC,preHTC
OA9_S4.30,OA9,preHTC,preHTC
OA9_S4.31,OA9,preHTC,HomC
OA9_S4.32,OA9,preHTC,preHTC
